ad_type,city,cname,day,deliver,ftype,invite,maxsal,minsal,name,refresh,type,url,uuid
f,北京,摩比神奇,4,False,1,False,200,150,风控数据实习生,08-15,intern,https://sxsimg.xiaoyuanzhao.com/FA/CE/FAF0889843AB96D6E57BC9AB13E55DCE.jpg,inn_abkl341k6bf0
f,杭州,网易游戏,4,False,1,False,200,150,数据挖掘实习生,08-15,intern,https://sxsimg.xiaoyuanzhao.com/B0/E4/B00FD20AE1431CF1143AA76CC5AD4CE4.jpg,inn_og7d6slpbbv0
f,重庆,完美世界,4,False,1,False,150,100,数据工程师,08-15,intern,https://sxsimg.xiaoyuanzhao.com/21/BE/2175CC5D253851303BE2122A74A46ABE.jpg,inn_sr9wybabosof
f,珠海,网钰科技,4,False,1,False,120,100,网钰管培生 -大数据挖掘 （技术部）,08-15,intern,https://sxsimg.xiaoyuanzhao.com/C5/01/C53610F2A6B69A3A6855EE3F231F9701.png,inn_xe4snqe5wvgf
f,北京,中国公益研究院,3,False,1,False,100,80,数据挖掘岗实习生,08-15,intern,https://sxsimg.xiaoyuanzhao.com/company_logo/2015-24/UMEJV79HlL4GXWC.jpg,inn_cui0kv0yvazu
f,上海,众安保险,3,False,1,False,200,150,大数据数据分析实习生,08-15,intern,https://sxsimg.xiaoyuanzhao.com/5C/74/5C081F7F567375259C530407908F0374.png,inn_lfddl5vzpouy
f,广州,火烈鸟网络,4,False,1,False,180,110,数据挖掘工程师实习生,08-15,intern,https://sxsimg.xiaoyuanzhao.com/65/26/6573D4AD145EF9590DD65C3B4EA6C426.png,inn_zwpqtnjgezc3
f,上海,GET,3,False,1,False,150,100,数据标注实习生,08-15,intern,https://sxsimg.xiaoyuanzhao.com/FA/E3/FAA8BF8968768EAA6E929AA221ADE2E3.png,inn_6a0l7inx3zyl
f,北京,作业帮,5,False,1,False,400,200,数据挖掘/机器学习算法工程师J10692,08-15,intern,https://sxsimg.xiaoyuanzhao.com/E5/85/E58244132DAD06C9B21180DDE2E4C585.jpg,inn_ejbyoyifqc3j
f,北京,京东金融,4,False,1,False,250,200,数据挖掘实习生（大数据方向）,08-15,intern,https://sxsimg.xiaoyuanzhao.com/AB/A7/AB41FF4085D2541CA0BB1F4E2DE24BA7.jpg,inn_iil37dtz78at
f,上海,长江众创,3,False,1,False,200,150,数据分析师,08-15,intern,https://sxsimg.xiaoyuanzhao.com/46/29/4620514FBC1ED3975DE632C50402D829.png,inn_0zghvkbpqmqz
f,北京,滴滴出行,4,False,1,False,400,300,数据分析实习生,08-15,intern,https://sxsimg.xiaoyuanzhao.com/F4/64/F400E7D0B6EFB6A136C12791E8406764.jpg,inn_qld8vzywz0co
f,上海,萨摩耶金服,4,False,1,False,200,150,数据挖掘实习生,08-15,intern,https://sxsimg.xiaoyuanzhao.com/96/DB/968094657C5296E6A60EC93490EAE9DB.png,inn_c5rix0ngb9t5
f,北京,滴滴出行,4,False,1,False,300,250,大数据开发工程师,08-15,intern,https://sxsimg.xiaoyuanzhao.com/F4/64/F400E7D0B6EFB6A136C12791E8406764.jpg,inn_haxnboaztl83
f,厦门,趣店集团,5,False,1,False,400,300,数据分析师（校招）,08-15,intern,https://sxsimg.xiaoyuanzhao.com/03/2D/032D2F3E40ED2FAE5F2C51419E25022D.png,inn_mzseuuxa6i77
f,上海,联蔚信息,3,False,1,False,150,100,数据分析实习生,08-15,intern,https://sxsimg.xiaoyuanzhao.com/41/D1/4147D642507EBAA65006D935551C3AD1.jpg,inn_4znqeu0q51tl
f,北京,因诺资产,4,False,1,False,250,200,量化数据实习生,08-15,intern,https://sxsimg.xiaoyuanzhao.com/14/B3/149A16ADF81CD046B39128B84328E2B3.png,inn_fpxd0sv5qlex
f,郑州,佳易互动,5,False,1,False,150,100,VR开发工程师助理实习生,08-15,intern,https://sxsimg.xiaoyuanzhao.com/20/2D/20345D87CCE3B6588B218176B24BB22D.png,inn_hyzlcgsy6rtu
f,大连,窝创网络,5,False,1,False,150,100,数据收集,08-15,intern,https://sxsimg.xiaoyuanzhao.com/99/C9/99FF014B69E1944B5B16AA2227B01CC9.jpg,inn_voshdldnuttf
f,杭州,盈盈理财,5,False,1,False,200,150,大数据平台工程师实习生(MJ000310),08-15,intern,https://sxsimg.xiaoyuanzhao.com/E2/E8/E2AB5F9C889FCDCFAB36B7FD8A3977E8.png,inn_yb7mxlzl6hgp
f,杭州,盈盈理财,5,False,1,False,0,0,数据分析实习生(MJ000314),08-15,intern,https://sxsimg.xiaoyuanzhao.com/E2/E8/E2AB5F9C889FCDCFAB36B7FD8A3977E8.png,inn_7aovbnlklmbr
f,北京,知源智生,4,False,1,False,200,150,大数据支持工程师,08-15,intern,https://sxsimg.xiaoyuanzhao.com/D7/4F/D733A5F5791F07A47FA492784CAD014F.png,inn_l6fhron5ghjc
f,北京,博彦科技,5,False,1,False,200,150,地图数据标注,08-15,intern,https://sxsimg.xiaoyuanzhao.com/7F/6C/7FE70418F6724CEC091FDD4F7799B76C.jpg,inn_tskoa2wx6yjc
f,上海,携程,4,False,1,False,0,0,NLP算法工程师,08-15,intern,https://sxsimg.xiaoyuanzhao.com/A6/13/A63BE1FBCB85B363C400B669A5CF6C13.jpg,inn_vzs7a30tk7cq
f,上海,同业云,3,False,0,False,150,100,语料标注实习生,08-15,intern,https://sxsimg.xiaoyuanzhao.com/A4/FA/A436BE608E0077FA6A03D0712543C3FA.png,inn_nkxflbdxovlm
f,南京,感易智能,4,False,1,False,300,250,数据挖掘算法实习生-南京,08-15,intern,https://sxsimg.xiaoyuanzhao.com/AB/5A/AB8CB8E1D00B8E2154D2A81582E3C45A.png,inn_fpp6ztulfjaf
f,北京,感易智能,4,False,1,False,400,200,NLP数据标注实习生,08-15,intern,https://sxsimg.xiaoyuanzhao.com/AB/5A/AB8CB8E1D00B8E2154D2A81582E3C45A.png,inn_gw2q17gq93eo
f,北京,感易智能,4,False,1,False,400,250,数据挖掘算法实习生,08-15,intern,https://sxsimg.xiaoyuanzhao.com/AB/5A/AB8CB8E1D00B8E2154D2A81582E3C45A.png,inn_o8imzoxkzeps
f,北京,神州医疗,4,False,1,False,150,100,数据分析实习生（信号处理方向）,08-15,intern,https://sxsimg.xiaoyuanzhao.com/C1/DC/C1D8919C911D3923F8C2CA03611C36DC.jpg,inn_e1kbvvoby2bh
